"Window","Role","Model","Ticket","EntryTime","CloseTime","Month","Hour","Bias","Volume","EntryPrice","StopLoss","TakeProfit","PlannedR","Profit","RealizedR","EntryReason","CloseReason","Lane","ATR","SpreadPoints","MFE_R","MAE_R","HeldBars","ProfileId","SourceHash","RunLabel","SourceLog"
"2024_full","profit_control","4","55","8/28/2024 8:00:00 AM","8/28/2024 8:07:39 AM","2024-08","8","buy","0.44","2511.77","2509.19","2520.14","3.24","-113.96","-10.03","Liquidity sweep;Diagnostic trend fallback;","sl 2509.19","sweep_plus_diagnostic","2.39","33",,,"0","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","57","8/29/2024 4:00:00 PM","8/29/2024 6:06:39 PM","2024-08","16","buy","0.09","2509.41","2502.28","2523.15","1.93","123.66","19.27","Liquidity sweep;Diagnostic trend fallback;","tp 2523.15","sweep_plus_diagnostic","3.92","33","1.77","0.14","8","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","59","8/30/2024 7:00:00 AM","8/30/2024 9:28:01 AM","2024-08","7","buy","0.47","2513.77","2511.31","2521.74","3.24","374.59","32.4","Diagnostic trend fallback;","tp 2521.74","diagnostic_fallback","2.28","33","0.74","-0.2","9","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2024_full","profit_control","4","61","10/31/2024 2:00:00 PM","10/31/2024 2:25:25 PM","2024-10","14","buy","0.41","2779.58","2776.43","2782.65","0.97","-104.14","-8.06","Flat month micro reversion score 7;FMR liquidity;FMR rejection;FMR location extreme;FMR VWAP;Flat month micro reversion;Diagnostic trend fallback;Range reversion stop/target;Range reversion trade RR 0.97;Flat month opportunity x1.15;","sl 2777.06","range_reversion_fmr","2.7","15","0.57","0.57","1","range_elite_diag_2024_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2024_full_m4","PXEA_RANGE_ELITE_2024_m4_trades.csv"
"2025_full","green_low_sample","4","2","3/3/2025 7:00:00 AM","3/3/2025 10:39:26 AM","2025-03","7","sell","0.17","2867.26","2872.86","2857.41","1.76","39.1","4.11","Diagnostic trend fallback;","sl 2864.89","diagnostic_fallback","2.82","15","1.28","0.02","14","range_elite_diag_2025_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2025_full_m4","PXEA_RANGE_ELITE_2025_m4_trades.csv"
"2025_full","green_low_sample","4","4","3/4/2025 9:00:00 AM","3/4/2025 9:27:11 AM","2025-03","9","buy","0.25","2887.57","2883.45","2896.66","2.21","229.25","22.25","Liquidity sweep;Diagnostic trend fallback;","tp 2896.66","sweep_plus_diagnostic","2.6","15","0.92","0.92","1","range_elite_diag_2025_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2025_full_m4","PXEA_RANGE_ELITE_2025_m4_trades.csv"
"2025_full","green_low_sample","4","6","3/5/2025 1:15:00 PM","3/5/2025 3:09:40 PM","2025-03","13","buy","0.23","2914.44","2909.07","2927.93","2.51","-54.05","-4.38","Diagnostic trend fallback;","sl 2912.12","diagnostic_fallback","3.86","13","0.74","-0.21","7","range_elite_diag_2025_full","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2025_full_m4","PXEA_RANGE_ELITE_2025_m4_trades.csv"
"2026_ytd","high_dd_recent","4","2","3/3/2026 7:00:00 AM","3/3/2026 7:54:01 AM","2026-03","7","sell","0.05","5361.23","5379.62","5317.84","2.36","219.05","23.83","Diagnostic trend fallback;","tp 5317.84","diagnostic_fallback","12.4","17","0.86","-0.06","3","range_elite_diag_2026_ytd","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2026_ytd_m4","PXEA_RANGE_ELITE_2026ytd_m4_trades.csv"
"2026_ytd","high_dd_recent","4","4","3/4/2026 7:00:00 AM","3/4/2026 8:59:59 AM","2026-03","7","sell","0.03","5156.94","5191.09","5097.12","1.75","-12.06","-1.18","Diagnostic trend fallback;","sl 5160.96","diagnostic_fallback","17.09","7","0.65","-0.13","7","range_elite_diag_2026_ytd","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2026_ytd_m4","PXEA_RANGE_ELITE_2026ytd_m4_trades.csv"
"2026_ytd","high_dd_recent","4","6","3/4/2026 1:45:00 PM","3/4/2026 3:09:56 PM","2026-03","13","sell","0.04","5192.99","5206.98","5147.65","3.24","17.16","3.07","Diagnostic trend fallback;","sl 5188.69","diagnostic_fallback","12.96","12","1.85","-0.34","5","range_elite_diag_2026_ytd","2219F6AE66CF1121972848C118213B50C01F91E783ABFE6D66F75105C655EB4D","range_elite_failure_diag_2026_ytd_m4","PXEA_RANGE_ELITE_2026ytd_m4_trades.csv"
