"Feature","Mode","Threshold","DiscoveryQualified","DiscoveryNet","DiscoveryWorstYearNet","DiscoveryMinYearPF","DiscoveryTrades","DiscoveryLiquidityTrades","HoldoutQualified","HoldoutNet","HoldoutWorstYearNet","HoldoutMinYearPF","HoldoutTrades","HoldoutLiquidityTrades","AllYearsQualified","AllYearsNet","AllYearsWorstYearNet","AllYearsMinYearPF","AllTrades","AllLiquidityTrades","NeighborAllYearsPass","OfflineSurvivor"
"MFI","le","35","False","4671.3","-540.44","0.18","50","7","True","3362.56","246.12","1.35","43","5","False","8033.86","-540.44","0.18","93","12","False","False"
"MFI","le","45","False","4542.1","-540.44","0.18","51","8","False","3055.86","24.27","1.02","47","9","False","7597.96","-540.44","0.18","98","17","False","False"
"MFI","le","50","False","4766.63","-540.44","0.18","54","11","False","3116.08","-203.39","0.8","51","13","False","7882.71","-540.44","0.18","105","24","False","False"
"MFI","le","55","False","4656.82","-650.25","0.16","55","12","False","3005.97","-203.39","0.8","52","14","False","7662.79","-650.25","0.16","107","26","False","False"
"MFI","le","65","False","5262.93","-220.69","0.71","60","17","False","2356.97","-635.39","0.57","55","17","False","7619.9","-635.39","0.57","115","34","False","False"
"CCI","ge","-100","False","4810.28","-528.99","0","55","12","False","2444.54","-645.3","0.41","51","13","False","7254.82","-645.3","0","106","25","False","False"
"CCI","ge","-50","False","5195.02","-330.98","0","52","9","False","2554.19","-645.3","0.41","50","12","False","7749.21","-645.3","0","102","21","False","False"
"CCI","ge","0","False","5195.02","-330.98","0","52","9","False","1817.76","-460.98","0.49","47","9","False","7012.78","-460.98","0","99","18","False","False"
"CCI","ge","50","False","5195.02","-330.98","0","52","9","False","1921.36","-357.38","0.56","46","8","False","7116.38","-357.38","0","98","17","False","False"
"CCI","ge","100","False","4441.68","-501.54","0","50","7","False","2138.36","-357.38","0.56","45","7","False","6580.04","-501.54","0","95","14","False","False"
"CCI","le","-100","False","4918.39","-540.44","0.18","52","9","False","3071.2","63.42","1.06","45","7","False","7989.59","-540.44","0.18","97","16","False","False"
"CCI","le","-50","False","4533.65","-540.44","0.18","55","12","False","2961.55","-46.23","0.96","46","8","False","7495.2","-540.44","0.18","101","20","False","False"
"CCI","le","0","False","4533.65","-540.44","0.18","55","12","False","3697.98","0.79","1","49","11","False","8231.63","-540.44","0.18","104","23","False","False"
"CCI","le","50","False","4533.65","-540.44","0.18","55","12","False","3594.38","-102.81","0.89","50","12","False","8128.03","-540.44","0.18","105","24","False","False"
"CCI","le","100","False","5286.99","-369.88","0.44","57","14","False","3377.38","-192.73","0.86","51","13","False","8664.37","-369.88","0.44","108","27","False","False"
"MACDAlignmentATR","ge","-0.2","False","5405.1","-194.41","0.6","52","9","False","3348.74","-240.13","0.65","43","5","False","8753.84","-240.13","0.6","95","14","False","False"
"MACDAlignmentATR","ge","-0.1","False","5065.04","-137.06","0.51","45","2","False","3579.75","-9.12","0.98","41","3","False","8644.79","-137.06","0.51","86","5","False","False"
"MACDAlignmentATR","ge","0","False","4566.4","-137.06","0","44","1","False","3689.86","-9.12","0.98","40","2","False","8256.26","-137.06","0","84","3","False","False"
"MACDAlignmentATR","ge","0.1","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"MACDAlignmentATR","ge","0.2","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
"MACDAlignmentATR","le","-0.2","False","4323.57","-677.01","0","55","12","False","2167","-747.98","0.6","53","15","False","6490.57","-747.98","0","108","27","False","False"
"MACDAlignmentATR","le","-0.1","False","4663.63","-752.15","0.42","62","19","False","1935.99","-747.98","0.6","55","17","False","6599.62","-752.15","0.42","117","36","False","False"
"MACDAlignmentATR","le","0","False","5162.27","-752.15","0.42","63","20","False","1825.88","-858.09","0.57","56","18","False","6988.15","-858.09","0.42","119","38","False","False"
"MACDAlignmentATR","le","0.1","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"MACDAlignmentATR","le","0.2","False","5033.07","-752.15","0.42","64","21","False","1712.06","-787.59","0.57","58","20","False","6745.13","-787.59","0.42","122","41","False","False"
"BollingerPosition","ge","0","False","4937.4","-752.15","0.42","61","18","False","1712.06","-787.59","0.57","58","20","False","6649.46","-787.59","0.42","119","38","False","False"
"BollingerPosition","ge","0.25","False","5671.1","-330.98","0.63","54","11","False","2554.19","-645.3","0.41","50","12","False","8225.29","-645.3","0.41","104","23","False","False"
"BollingerPosition","ge","0.5","False","5195.02","-330.98","0","52","9","False","1888.26","-460.98","0.49","48","10","False","7083.28","-460.98","0","100","19","False","False"
"BollingerPosition","ge","0.75","False","4614.93","-501.54","0","49","6","False","1921.36","-357.38","0.56","46","8","False","6536.29","-501.54","0","95","14","False","False"
"BollingerPosition","ge","1","False","4225.53","-589.34","0","46","3","True","3568.08","175.2","1.64","39","1","False","7793.61","-589.34","0","85","4","False","False"
"BollingerPosition","le","0","False","4791.27","-259.41","0.51","46","3","True","3803.68","175.2","1.64","38","0","False","8594.95","-259.41","0.51","84","3","False","False"
"BollingerPosition","le","0.25","False","4057.57","-540.44","0.18","53","10","False","2961.55","-46.23","0.96","46","8","False","7019.12","-540.44","0.18","99","18","False","False"
"BollingerPosition","le","0.5","False","4533.65","-540.44","0.18","55","12","False","3627.48","-46.23","0.96","48","10","False","8161.13","-540.44","0.18","103","22","False","False"
"BollingerPosition","le","0.75","False","5113.74","-369.88","0.44","58","15","False","3594.38","-102.81","0.89","50","12","False","8708.12","-369.88","0.44","108","27","False","False"
"BollingerPosition","le","1","False","5503.14","-282.08","0.66","61","18","False","1947.66","-635.39","0.57","57","19","False","7450.8","-635.39","0.57","118","37","False","False"
"BodyPercent","ge","10","False","5167.48","-216.42","0.72","55","12","False","2016.19","-211.79","0.85","48","10","False","7183.67","-216.42","0.72","103","22","False","False"
"BodyPercent","ge","20","False","4695.6","-122.76","0","43","0","True","3803.68","175.2","1.64","38","0","False","8499.28","-122.76","0","81","0","False","False"
