Feature,FeatureIndex,Direction,Quantile,NeighborOffset,Threshold,Trades,KeptTrades,RemovedTrades,Retention,BaselineNet,KeptNet,RemovedNet,Improvement,BaselinePF,KeptPF,early_improvement,early_removed,late_improvement,late_removed,TrainingSupport
SqueezeRatioMax,13,minimum,0.25000000,1,0.67077800,55,41,14,0.74545455,186.06000000,86.97000000,99.09000000,-99.09000000,1.69957888,1.42613553,-64.93000000,6,-34.16000000,8,False
SqueezeRatioMax,13,maximum,0.15000000,-1,0.86604400,55,46,9,0.83636364,186.06000000,186.25000000,-0.19000000,0.19000000,1.69957888,1.89072214,17.59000000,7,-17.40000000,2,False
SqueezeRatioMax,13,maximum,0.20000000,0,0.85168380,55,44,11,0.80000000,186.06000000,204.35000000,-18.29000000,18.29000000,1.69957888,2.06989529,35.69000000,9,-17.40000000,2,False
SqueezeRatioMax,13,maximum,0.25000000,1,0.84228250,55,41,14,0.74545455,186.06000000,234.12000000,-48.06000000,48.06000000,1.69957888,2.45208708,55.06000000,11,-7.00000000,3,False
StopATR,14,minimum,0.15000000,-1,0.86346990,55,46,9,0.83636364,186.06000000,211.04000000,-24.98000000,24.98000000,1.69957888,2.03679686,5.68000000,3,19.30000000,6,True
StopATR,14,minimum,0.20000000,0,0.89625500,55,44,11,0.80000000,186.06000000,230.54000000,-44.48000000,44.48000000,1.69957888,2.25259440,25.18000000,5,19.30000000,6,True
StopATR,14,minimum,0.25000000,1,0.94478500,55,41,14,0.74545455,186.06000000,177.74000000,8.32000000,-8.32000000,1.69957888,1.96571584,-10.31000000,7,1.99000000,7,False
StopATR,14,maximum,0.15000000,-1,1.18689230,55,46,9,0.83636364,186.06000000,191.69000000,-5.63000000,5.63000000,1.69957888,1.92380723,22.53000000,5,-16.90000000,4,False
StopATR,14,maximum,0.20000000,0,1.17844120,55,44,11,0.80000000,186.06000000,212.05000000,-25.99000000,25.99000000,1.69957888,2.13310890,32.49000000,6,-6.50000000,5,False
StopATR,14,maximum,0.25000000,1,1.16158150,55,41,14,0.74545455,186.06000000,187.47000000,-1.41000000,1.41000000,1.69957888,2.05326142,25.71000000,8,-24.30000000,6,False
